q2,     ge,     ge-err, gm,     gm-err 
0.1846, 0.6199, 0.0011, 1.7722, 0.0031 
0.1880, 0.6107, 0.0022, 1.7464, 0.0062 
0.1888, 0.6132, 0.0011, 1.7539, 0.0031 
0.1893, 0.6118, 0.0014, 1.7500, 0.0041 
0.1916, 0.6062, 0.0023, 1.7345, 0.0065 
0.1928, 0.6078, 0.0011, 1.7394, 0.0031 
0.1934, 0.6041, 0.0013, 1.7288, 0.0038 
0.1943, 0.6047, 0.0014, 1.7308, 0.0041 
0.1949, 0.6007, 0.0024, 1.7196, 0.0067 
0.1970, 0.6003, 0.0011, 1.7187, 0.0031 
0.1984, 0.5971, 0.0025, 1.7098, 0.0071 
0.1992, 0.5985, 0.0012, 1.7141, 0.0033 
0.1997, 0.5964, 0.0012, 1.7081, 0.0033 
0.2011, 0.5934, 0.0011, 1.6999, 0.0031 
0.2011, 0.5944, 0.0010, 1.7028, 0.0029 
0.2017, 0.5919, 0.0026, 1.6956, 0.0075 
0.2030, 0.5905, 0.0013, 1.6920, 0.0038 
0.2045, 0.5879, 0.0010, 1.6848, 0.0029 
0.2048, 0.5892, 0.0028, 1.6886, 0.0079 
0.2051, 0.5903, 0.0012, 1.6919, 0.0034 
0.2052, 0.5884, 0.0010, 1.6866, 0.0030 
0.2053, 0.5881, 0.0010, 1.6857, 0.0030 
0.2094, 0.5842, 0.0011, 1.6754, 0.0031 
0.2095, 0.5826, 0.0011, 1.6709, 0.0030 
0.2103, 0.5818, 0.0012, 1.6686, 0.0034 
0.2105, 0.5806, 0.0031, 1.6653, 0.0088 
0.2127, 0.5797, 0.0014, 1.6632, 0.0040 
0.2127, 0.5780, 0.0014, 1.6581, 0.0040 
0.2131, 0.5763, 0.0032, 1.6535, 0.0093 
0.2137, 0.5786, 0.0010, 1.6603, 0.0030 
0.2148, 0.5761, 0.0012, 1.6534, 0.0034 
0.2156, 0.5754, 0.0012, 1.6514, 0.0034 
