q2,     ge,    delta-ge, gm,     delta-gm 
0.2456, 0.5377, 0.0013, 1.5492, 0.0043 
0.2470, 0.5359, 0.0011, 1.5443, 0.0044 
0.2477, 0.5358, 0.0011, 1.5440, 0.0043 
0.2481, 0.5321, 0.0015, 1.5334, 0.0056 
0.2492, 0.5335, 0.0016, 1.5377, 0.0039 
0.2493, 0.5317, 0.0015, 1.5327, 0.0038 
0.2520, 0.5305, 0.0011, 1.5296, 0.0042 
0.2536, 0.5300, 0.0012, 1.5285, 0.0047 
0.2578, 0.5232, 0.0016, 1.5099, 0.0038 
0.2578, 0.5233, 0.0016, 1.5100, 0.0038 
0.2592, 0.5241, 0.0012, 1.5127, 0.0047 
0.2608, 0.5210, 0.0013, 1.5041, 0.0041 
0.2647, 0.5182, 0.0012, 1.4965, 0.0047 
0.2663, 0.5142, 0.0017, 1.4855, 0.0038 
0.2663, 0.5130, 0.0016, 1.4820, 0.0037 
0.2686, 0.5126, 0.0012, 1.4813, 0.0042 
0.2702, 0.5113, 0.0012, 1.4777, 0.0046 
0.2744, 0.5053, 0.0017, 1.4612, 0.0037 
0.2744, 0.5058, 0.0017, 1.4628, 0.0036 
0.2745, 0.5039, 0.0017, 1.4572, 0.0036 
0.2758, 0.5057, 0.0012, 1.4627, 0.0046 
0.2759, 0.5043, 0.0014, 1.4586, 0.0040 
0.2814, 0.4988, 0.0012, 1.4439, 0.0045 
0.2825, 0.4968, 0.0018, 1.4381, 0.0037 
0.2900, 0.4905, 0.0012, 1.4213, 0.0041 
0.2901, 0.4895, 0.0018, 1.4185, 0.0035 
0.2905, 0.4884, 0.0014, 1.4154, 0.0039 
0.2977, 0.4814, 0.0019, 1.3964, 0.0034 
0.3038, 0.4769, 0.0013, 1.3845, 0.0044 
0.3049, 0.4756, 0.0019, 1.3808, 0.0034 
0.3054, 0.4741, 0.0014, 1.3764, 0.0038 
0.3069, 0.4735, 0.0012, 1.3750, 0.0041 
0.3094, 0.4723, 0.0013, 1.3720, 0.0043 
0.3119, 0.4685, 0.0020, 1.3615, 0.0033 
0.3120, 0.4688, 0.0013, 1.3624, 0.0039 
0.3150, 0.4667, 0.0013, 1.3567, 0.0043 
0.3187, 0.4633, 0.0021, 1.3475, 0.0034 
0.3195, 0.4609, 0.0015, 1.3405, 0.0037 
0.3207, 0.4625, 0.0013, 1.3456, 0.0042 
0.3253, 0.4564, 0.0021, 1.3286, 0.0034 
0.3263, 0.4539, 0.0013, 1.3214, 0.0042 
0.3263, 0.4551, 0.0013, 1.3248, 0.0042 
0.3315, 0.4508, 0.0022, 1.3132, 0.0034 
0.3320, 0.4509, 0.0013, 1.3137, 0.0042 
0.3332, 0.4498, 0.0013, 1.3105, 0.0038 
0.3338, 0.4484, 0.0015, 1.3067, 0.0033 
0.3340, 0.4480, 0.0015, 1.3057, 0.0033 
0.3354, 0.4461, 0.0012, 1.3003, 0.0039 
0.3375, 0.4448, 0.0013, 1.2967, 0.0041 
0.3376, 0.4451, 0.0023, 1.2978, 0.0034 
0.3432, 0.4407, 0.0013, 1.2857, 0.0041 
0.3433, 0.4415, 0.0024, 1.2883, 0.0034 
0.3473, 0.4355, 0.0016, 1.2713, 0.0034 
0.3486, 0.4367, 0.0024, 1.2750, 0.0035 
0.3489, 0.4355, 0.0013, 1.2716, 0.0041 
0.3539, 0.4327, 0.0025, 1.2643, 0.0036 
0.3543, 0.4308, 0.0014, 1.2588, 0.0036 
0.3544, 0.4319, 0.0014, 1.2619, 0.0040 
0.3592, 0.4278, 0.0026, 1.2508, 0.0037 
0.3600, 0.4255, 0.0014, 1.2441, 0.0040 
0.3609, 0.4250, 0.0017, 1.2428, 0.0033 
0.3610, 0.4251, 0.0016, 1.2432, 0.0031 
0.3636, 0.4250, 0.0027, 1.2433, 0.0038 
0.3639, 0.4231, 0.0013, 1.2378, 0.0037 
0.3657, 0.4226, 0.0014, 1.2366, 0.0039 
0.3684, 0.4198, 0.0028, 1.2288, 0.0040 
0.3712, 0.4169, 0.0014, 1.2207, 0.0039 
0.3727, 0.4171, 0.0030, 1.2216, 0.0043 
0.3738, 0.4142, 0.0016, 1.2133, 0.0030 
0.3749, 0.4131, 0.0014, 1.2104, 0.0034 
0.3767, 0.4129, 0.0031, 1.2101, 0.0046 
0.3768, 0.4124, 0.0014, 1.2084, 0.0038 
0.3825, 0.4082, 0.0014, 1.1972, 0.0038 
0.3866, 0.4050, 0.0017, 1.1884, 0.0030 
0.3870, 0.4035, 0.0017, 1.1840, 0.0029 
0.3880, 0.4036, 0.0014, 1.1845, 0.0037 
0.3916, 0.4013, 0.0013, 1.1784, 0.0035 
0.3936, 0.4001, 0.0014, 1.1751, 0.0037 
0.3954, 0.3993, 0.0015, 1.1731, 0.0033 
0.3987, 0.3951, 0.0018, 1.1610, 0.0029 
0.3991, 0.3973, 0.0015, 1.1676, 0.0037 
0.4047, 0.3923, 0.0014, 1.1540, 0.0036 
0.4102, 0.3896, 0.0015, 1.1469, 0.0038 
0.4108, 0.3870, 0.0018, 1.1392, 0.0028 
0.4154, 0.3844, 0.0015, 1.1322, 0.0031 
0.4158, 0.3844, 0.0015, 1.1321, 0.0036 
0.4201, 0.3814, 0.0014, 1.1242, 0.0034 
0.4212, 0.3803, 0.0015, 1.1209, 0.0035 
0.4222, 0.3797, 0.0019, 1.1193, 0.0027 
0.4269, 0.3758, 0.0015, 1.1085, 0.0035 
0.4322, 0.3731, 0.0015, 1.1013, 0.0034 
0.4338, 0.3712, 0.0019, 1.0959, 0.0025 
0.4351, 0.3721, 0.0016, 1.0989, 0.0030 
0.4378, 0.3681, 0.0015, 1.0874, 0.0035 
0.4471, 0.3635, 0.0015, 1.0750, 0.0032 
0.4540, 0.3590, 0.0016, 1.0629, 0.0028 
0.4549, 0.3579, 0.0020, 1.0596, 0.0024 
0.4729, 0.3480, 0.0017, 1.0327, 0.0026 
0.4729, 0.3478, 0.0017, 1.0321, 0.0026 
0.4745, 0.3458, 0.0021, 1.0264, 0.0023 
0.4748, 0.3459, 0.0015, 1.0268, 0.0030 
0.4908, 0.3371, 0.0017, 1.0030, 0.0026 
0.4908, 0.3371, 0.0017, 1.0028, 0.0026 
0.4927, 0.3352, 0.0022, 0.9974, 0.0022 
0.5009, 0.3309, 0.0022, 0.9858, 0.0023 
0.5011, 0.3310, 0.0016, 0.9859, 0.0028 
0.5083, 0.3270, 0.0018, 0.9750, 0.0024 
0.5085, 0.3270, 0.0018, 0.9752, 0.0024 
0.5089, 0.3262, 0.0023, 0.9727, 0.0023 
0.5170, 0.3228, 0.0023, 0.9635, 0.0023 
0.5241, 0.3182, 0.0024, 0.9507, 0.0023 
0.5253, 0.3172, 0.0018, 0.9480, 0.0023 
0.5254, 0.3176, 0.0018, 0.9492, 0.0023 
0.5274, 0.3170, 0.0016, 0.9477, 0.0027 
0.5312, 0.3150, 0.0024, 0.9422, 0.0024 
0.5382, 0.3105, 0.0025, 0.9295, 0.0024 
0.5419, 0.3095, 0.0018, 0.9270, 0.0022 
0.5420, 0.3103, 0.0019, 0.9294, 0.0022 
0.5442, 0.3081, 0.0026, 0.9232, 0.0025 
0.5504, 0.3056, 0.0026, 0.9165, 0.0026 
0.5524, 0.3049, 0.0017, 0.9144, 0.0025 
0.5561, 0.3034, 0.0027, 0.9104, 0.0028 
0.5578, 0.3011, 0.0019, 0.9039, 0.0022 
0.5579, 0.3012, 0.0019, 0.9041, 0.0021 
0.5613, 0.3002, 0.0028, 0.9015, 0.0030 
0.5665, 0.2971, 0.0029, 0.8928, 0.0032 
0.5732, 0.2944, 0.0019, 0.8854, 0.0021 
0.5732, 0.2937, 0.0019, 0.8834, 0.0020 
0.5775, 0.2936, 0.0017, 0.8836, 0.0024 
0.5878, 0.2868, 0.0020, 0.8643, 0.0019 
0.5879, 0.2874, 0.0019, 0.8661, 0.0019 
0.6011, 0.2811, 0.0017, 0.8488, 0.0022 
0.6022, 0.2810, 0.0020, 0.8484, 0.0019 
0.6022, 0.2813, 0.0020, 0.8494, 0.0019 
0.6157, 0.2744, 0.0020, 0.8302, 0.0018 
0.6157, 0.2743, 0.0020, 0.8299, 0.0018 
0.6249, 0.2715, 0.0018, 0.8223, 0.0021 
0.6288, 0.2699, 0.0021, 0.8180, 0.0017 
0.6290, 0.2702, 0.0021, 0.8190, 0.0018 
0.6414, 0.2638, 0.0021, 0.8008, 0.0017 
0.6415, 0.2632, 0.0021, 0.7991, 0.0017 
0.6468, 0.2624, 0.0018, 0.7971, 0.0020 
0.6536, 0.2601, 0.0021, 0.7908, 0.0016 
0.6536, 0.2591, 0.0021, 0.7879, 0.0017 
0.6536, 0.2592, 0.0021, 0.7882, 0.0015 
0.6651, 0.2549, 0.0021, 0.7764, 0.0015 
0.6652, 0.2548, 0.0021, 0.7760, 0.0015 
0.6652, 0.2547, 0.0021, 0.7756, 0.0015 
0.6690, 0.2536, 0.0019, 0.7726, 0.0019 
0.6761, 0.2506, 0.0022, 0.7644, 0.0015 
0.6763, 0.2509, 0.0022, 0.7653, 0.0015 
0.6764, 0.2511, 0.0022, 0.7658, 0.0015 
0.6867, 0.2470, 0.0022, 0.7543, 0.0014 
0.6895, 0.2444, 0.0020, 0.7466, 0.0020 
0.6969, 0.2437, 0.0022, 0.7455, 0.0015 
0.6970, 0.2430, 0.0022, 0.7433, 0.0014 
0.7064, 0.2403, 0.0022, 0.7359, 0.0014 
0.7101, 0.2387, 0.0019, 0.7316, 0.0016 
0.7151, 0.2367, 0.0023, 0.7259, 0.0014 
0.7152, 0.2370, 0.0023, 0.7268, 0.0014 
0.7239, 0.2349, 0.0023, 0.7210, 0.0014 
0.7290, 0.2326, 0.0019, 0.7144, 0.0016 
0.7295, 0.2320, 0.0019, 0.7129, 0.0016 
0.7300, 0.2319, 0.0019, 0.7125, 0.0016 
0.7325, 0.2316, 0.0023, 0.7119, 0.0015 
0.7325, 0.2316, 0.0024, 0.7119, 0.0016 
0.7402, 0.2294, 0.0024, 0.7058, 0.0015 
0.7474, 0.2267, 0.0024, 0.6982, 0.0015 
0.7474, 0.2263, 0.0025, 0.6971, 0.0019 
0.7482, 0.2263, 0.0020, 0.6971, 0.0015 
0.7486, 0.2264, 0.0020, 0.6973, 0.0015 
0.7546, 0.2254, 0.0025, 0.6949, 0.0018 
0.7603, 0.2227, 0.0025, 0.6871, 0.0017 
0.7656, 0.2199, 0.0020, 0.6790, 0.0014 
0.7661, 0.2204, 0.0020, 0.6807, 0.0014 
0.7836, 0.2155, 0.0020, 0.6669, 0.0013 
0.7996, 0.2108, 0.0020, 0.6540, 0.0013 
0.8157, 0.2065, 0.0021, 0.6419, 0.0012 
0.8303, 0.2027, 0.0021, 0.6315, 0.0012 
0.8449, 0.1981, 0.0021, 0.6183, 0.0012 
0.8586, 0.1951, 0.0021, 0.6103, 0.0011 
0.8718, 0.1922, 0.0022, 0.6023, 0.0011 
0.8838, 0.1895, 0.0022, 0.5949, 0.0011 
0.8960, 0.1861, 0.0023, 0.5850, 0.0014 
0.9070, 0.1836, 0.0022, 0.5781, 0.0010 
