q2,     ge,     ge-err, gm,     gm-err 				q2,     ge,     ge-err, gm,     gm-err 
0.0272, 0.9204, 0.0025, 2.5792, 0.0080 			      |	0.0272, 0.9163, 0.0025, 2.5679, 0.0079 
0.0276, 0.9207, 0.0014, 2.5804, 0.0048 			      |	0.0276, 0.9177, 0.0014, 2.5719, 0.0047 
0.0278, 0.9216, 0.0013, 2.5830, 0.0047 			      |	0.0278, 0.9179, 0.0013, 2.5725, 0.0046 
0.0283, 0.9196, 0.0016, 2.5774, 0.0055 			      |	0.0283, 0.9154, 0.0016, 2.5656, 0.0054 
0.0286, 0.9202, 0.0013, 2.5793, 0.0046 			      |	0.0286, 0.9165, 0.0013, 2.5688, 0.0045 
0.0288, 0.9226, 0.0026, 2.5858, 0.0082 			      |	0.0288, 0.9185, 0.0025, 2.5745, 0.0081 
0.0295, 0.9174, 0.0014, 2.5716, 0.0047 			      |	0.0295, 0.9137, 0.0013, 2.5612, 0.0047 
0.0295, 0.9130, 0.0014, 2.5594, 0.0049 			      |	0.0295, 0.9107, 0.0014, 2.5528, 0.0049 
0.0296, 0.9182, 0.0014, 2.5739, 0.0048 			      |	0.0296, 0.9140, 0.0014, 2.5621, 0.0048 
0.0296, 0.9147, 0.0016, 2.5640, 0.0052 			      |	0.0296, 0.9117, 0.0015, 2.5556, 0.0052 
0.0303, 0.9161, 0.0014, 2.5682, 0.0047 			      |	0.0303, 0.9124, 0.0013, 2.5579, 0.0047 
0.0304, 0.9146, 0.0025, 2.5640, 0.0080 			      |	0.0304, 0.9106, 0.0025, 2.5528, 0.0079 
0.0308, 0.9125, 0.0015, 2.5584, 0.0051 			      |	0.0308, 0.9083, 0.0015, 2.5466, 0.0051 
0.0312, 0.9126, 0.0013, 2.5587, 0.0046 			      |	0.0312, 0.9089, 0.0013, 2.5483, 0.0046 
0.0317, 0.9109, 0.0015, 2.5541, 0.0052 			      |	0.0317, 0.9079, 0.0015, 2.5458, 0.0052 
