q2,     ge,     ge-err, gm,     gm-err 				q2,     ge,     ge-err, gm,     gm-err 
0.2137, 0.5781, 0.0010, 1.6588, 0.0044 			      |	0.2137, 0.5751, 0.0010, 1.6501, 0.0044 
0.2148, 0.5755, 0.0012, 1.6517, 0.0045 			      |	0.2148, 0.5728, 0.0012, 1.6437, 0.0044 
0.2156, 0.5748, 0.0012, 1.6497, 0.0050 			      |	0.2156, 0.5715, 0.0012, 1.6402, 0.0049 
0.2178, 0.5719, 0.0010, 1.6417, 0.0044 			      |	0.2178, 0.5689, 0.0010, 1.6331, 0.0044 
0.2179, 0.5714, 0.0011, 1.6403, 0.0045 			      |	0.2179, 0.5688, 0.0011, 1.6331, 0.0044 
0.2210, 0.5701, 0.0012, 1.6372, 0.0050 			      |	0.2210, 0.5668, 0.0012, 1.6279, 0.0049 
0.2219, 0.5658, 0.0014, 1.6252, 0.0040 			      |	0.2219, 0.5625, 0.0014, 1.6158, 0.0040 
0.2220, 0.5657, 0.0014, 1.6250, 0.0042 			      |	0.2220, 0.5628, 0.0014, 1.6164, 0.0042 
0.2222, 0.5662, 0.0011, 1.6265, 0.0044 			      |	0.2222, 0.5633, 0.0010, 1.6180, 0.0043 
0.2258, 0.5608, 0.0011, 1.6115, 0.0044 			      |	0.2258, 0.5583, 0.0010, 1.6045, 0.0043 
0.2264, 0.5615, 0.0012, 1.6138, 0.0049 			      |	0.2264, 0.5583, 0.0012, 1.6045, 0.0049 
0.2264, 0.5590, 0.0011, 1.6066, 0.0043 			      |	0.2264, 0.5565, 0.0010, 1.5995, 0.0043 
0.2264, 0.5621, 0.0011, 1.6155, 0.0044 			      |	0.2264, 0.5592, 0.0011, 1.6071, 0.0044 
0.2301, 0.5563, 0.0012, 1.5996, 0.0044 			      |	0.2301, 0.5536, 0.0012, 1.5919, 0.0043 
0.2307, 0.5569, 0.0011, 1.6015, 0.0044 			      |	0.2307, 0.5540, 0.0011, 1.5931, 0.0043 
0.2313, 0.5537, 0.0014, 1.5924, 0.0040 			      |	0.2313, 0.5505, 0.0014, 1.5832, 0.0040 
0.2313, 0.5545, 0.0015, 1.5947, 0.0041 			      |	0.2313, 0.5514, 0.0015, 1.5858, 0.0041 
0.2318, 0.5555, 0.0012, 1.5975, 0.0049 			      |	0.2318, 0.5523, 0.0012, 1.5884, 0.0049 
0.2348, 0.5503, 0.0011, 1.5831, 0.0043 			      |	0.2348, 0.5474, 0.0011, 1.5749, 0.0043 
0.2349, 0.5497, 0.0011, 1.5816, 0.0043 			      |	0.2349, 0.5473, 0.0011, 1.5746, 0.0043 
0.2372, 0.5471, 0.0012, 1.5744, 0.0050 			      |	0.2372, 0.5439, 0.0012, 1.5654, 0.0049 
0.2390, 0.5454, 0.0011, 1.5701, 0.0043 			      |	0.2390, 0.5426, 0.0011, 1.5619, 0.0042 
0.2403, 0.5432, 0.0015, 1.5641, 0.0039 			      |	0.2403, 0.5401, 0.0015, 1.5551, 0.0039 
0.2403, 0.5432, 0.0015, 1.5639, 0.0040 			      |	0.2403, 0.5403, 0.0015, 1.5557, 0.0040 
0.2427, 0.5411, 0.0012, 1.5583, 0.0048 			      |	0.2427, 0.5380, 0.0012, 1.5494, 0.0048 
0.2433, 0.5395, 0.0011, 1.5539, 0.0042 			      |	0.2433, 0.5367, 0.0011, 1.5457, 0.0042 
0.2435, 0.5382, 0.0011, 1.5502, 0.0044 			      |	0.2435, 0.5358, 0.0011, 1.5434, 0.0043 
0.2456, 0.5377, 0.0013, 1.5492, 0.0043 			      |	0.2456, 0.5351, 0.0012, 1.5418, 0.0042 
0.2470, 0.5359, 0.0011, 1.5443, 0.0044 			      |	0.2470, 0.5336, 0.0011, 1.5376, 0.0043 
0.2477, 0.5358, 0.0011, 1.5440, 0.0043 			      |	0.2477, 0.5330, 0.0011, 1.5360, 0.0043 
0.2481, 0.5321, 0.0015, 1.5334, 0.0056 			      |	0.2481, 0.5290, 0.0015, 1.5246, 0.0055 
0.2492, 0.5335, 0.0016, 1.5377, 0.0039 			      |	0.2492, 0.5305, 0.0016, 1.5291, 0.0039 
0.2493, 0.5317, 0.0015, 1.5327, 0.0038 			      |	0.2493, 0.5287, 0.0015, 1.5239, 0.0038 
0.2520, 0.5305, 0.0011, 1.5296, 0.0042 			      |	0.2520, 0.5277, 0.0011, 1.5216, 0.0042 
0.2536, 0.5300, 0.0012, 1.5285, 0.0047 			      |	0.2536, 0.5269, 0.0012, 1.5197, 0.0047 
0.2578, 0.5232, 0.0016, 1.5099, 0.0038 			      |	0.2578, 0.5205, 0.0016, 1.5019, 0.0038 
0.2578, 0.5233, 0.0016, 1.5100, 0.0038 			      |	0.2578, 0.5203, 0.0016, 1.5013, 0.0037 
0.2592, 0.5241, 0.0012, 1.5127, 0.0047 			      |	0.2592, 0.5211, 0.0012, 1.5040, 0.0046 
0.2608, 0.5210, 0.0013, 1.5041, 0.0041 			      |	0.2608, 0.5185, 0.0013, 1.4969, 0.0041 
0.2647, 0.5182, 0.0012, 1.4965, 0.0047 			      |	0.2647, 0.5152, 0.0012, 1.4879, 0.0046 
0.2663, 0.5142, 0.0017, 1.4855, 0.0038 			      |	0.2663, 0.5114, 0.0017, 1.4772, 0.0037 
0.2663, 0.5130, 0.0016, 1.4820, 0.0037 			      |	0.2663, 0.5101, 0.0016, 1.4735, 0.0036 
0.2686, 0.5126, 0.0012, 1.4813, 0.0042 			      |	0.2686, 0.5104, 0.0012, 1.4748, 0.0042 
0.2702, 0.5113, 0.0012, 1.4777, 0.0046 			      |	0.2702, 0.5084, 0.0012, 1.4693, 0.0046 
0.2744, 0.5053, 0.0017, 1.4612, 0.0037 			      |	0.2744, 0.5026, 0.0017, 1.4535, 0.0036 
0.2744, 0.5058, 0.0017, 1.4628, 0.0036 			      |	0.2744, 0.5029, 0.0017, 1.4544, 0.0036 
0.2745, 0.5039, 0.0017, 1.4572, 0.0036 			      |	0.2745, 0.5009, 0.0017, 1.4486, 0.0035 
0.2758, 0.5057, 0.0012, 1.4627, 0.0046 			      |	0.2758, 0.5028, 0.0012, 1.4543, 0.0046 
0.2759, 0.5043, 0.0014, 1.4586, 0.0040 			      |	0.2759, 0.5019, 0.0013, 1.4516, 0.0040 
0.2814, 0.4988, 0.0012, 1.4439, 0.0045 			      |	0.2814, 0.4960, 0.0012, 1.4356, 0.0045 
0.2825, 0.4968, 0.0018, 1.4381, 0.0037 			      |	0.2825, 0.4939, 0.0018, 1.4298, 0.0036 
0.2900, 0.4905, 0.0012, 1.4213, 0.0041 			      |	0.2900, 0.4884, 0.0012, 1.4151, 0.0040 
0.2901, 0.4895, 0.0018, 1.4185, 0.0035 			      |	0.2901, 0.4867, 0.0018, 1.4103, 0.0034 
0.2905, 0.4884, 0.0014, 1.4154, 0.0039 			      |	0.2905, 0.4861, 0.0014, 1.4086, 0.0039 
0.2977, 0.4814, 0.0019, 1.3964, 0.0034 			      |	0.2977, 0.4787, 0.0018, 1.3884, 0.0034 
0.3038, 0.4769, 0.0013, 1.3845, 0.0044 			      |	0.3038, 0.4742, 0.0013, 1.3766, 0.0044 
0.3049, 0.4756, 0.0019, 1.3808, 0.0034 			      |	0.3049, 0.4729, 0.0019, 1.3729, 0.0034 
0.3054, 0.4741, 0.0014, 1.3764, 0.0038 			      |	0.3054, 0.4718, 0.0014, 1.3698, 0.0037 
0.3069, 0.4735, 0.0012, 1.3750, 0.0041 			      |	0.3069, 0.4714, 0.0012, 1.3689, 0.0041 
0.3094, 0.4723, 0.0013, 1.3720, 0.0043 			      |	0.3094, 0.4696, 0.0013, 1.3642, 0.0043 
0.3119, 0.4685, 0.0020, 1.3615, 0.0033 			      |	0.3119, 0.4658, 0.0020, 1.3536, 0.0033 
0.3120, 0.4688, 0.0013, 1.3624, 0.0039 			      |	0.3120, 0.4668, 0.0013, 1.3565, 0.0039 
0.3150, 0.4667, 0.0013, 1.3567, 0.0043 			      |	0.3150, 0.4640, 0.0013, 1.3490, 0.0042 
0.3187, 0.4633, 0.0021, 1.3475, 0.0034 			      |	0.3187, 0.4606, 0.0020, 1.3397, 0.0033 
0.3195, 0.4609, 0.0015, 1.3405, 0.0037 			      |	0.3195, 0.4587, 0.0015, 1.3341, 0.0036 
0.3207, 0.4625, 0.0013, 1.3456, 0.0042 			      |	0.3207, 0.4599, 0.0013, 1.3379, 0.0042 
0.3253, 0.4564, 0.0021, 1.3286, 0.0034 			      |	0.3253, 0.4538, 0.0021, 1.3209, 0.0033 
0.3263, 0.4539, 0.0013, 1.3214, 0.0042 			      |	0.3263, 0.4518, 0.0013, 1.3154, 0.0042 
0.3263, 0.4551, 0.0013, 1.3248, 0.0042 			      |	0.3263, 0.4525, 0.0013, 1.3173, 0.0042 
0.3315, 0.4508, 0.0022, 1.3132, 0.0034 			      |	0.3315, 0.4482, 0.0022, 1.3057, 0.0033 
0.3320, 0.4509, 0.0013, 1.3137, 0.0042 			      |	0.3320, 0.4488, 0.0013, 1.3076, 0.0042 
0.3332, 0.4498, 0.0013, 1.3105, 0.0038 			      |	0.3332, 0.4478, 0.0013, 1.3048, 0.0037 
0.3338, 0.4484, 0.0015, 1.3067, 0.0033 			      |	0.3338, 0.4463, 0.0015, 1.3005, 0.0033 
0.3340, 0.4480, 0.0015, 1.3057, 0.0033 			      |	0.3340, 0.4466, 0.0015, 1.3015, 0.0033 
0.3354, 0.4461, 0.0012, 1.3003, 0.0039 			      |	0.3354, 0.4441, 0.0012, 1.2945, 0.0039 
0.3375, 0.4448, 0.0013, 1.2967, 0.0041 			      |	0.3375, 0.4427, 0.0013, 1.2907, 0.0041 
0.3376, 0.4451, 0.0023, 1.2978, 0.0034 			      |	0.3376, 0.4426, 0.0022, 1.2904, 0.0033 
0.3432, 0.4407, 0.0013, 1.2857, 0.0041 			      |	0.3432, 0.4386, 0.0013, 1.2798, 0.0041 
0.3433, 0.4415, 0.0024, 1.2883, 0.0034 			      |	0.3433, 0.4390, 0.0023, 1.2809, 0.0034 
0.3473, 0.4355, 0.0016, 1.2713, 0.0034 			      |	0.3473, 0.4334, 0.0016, 1.2652, 0.0034 
0.3486, 0.4367, 0.0024, 1.2750, 0.0035 			      |	0.3486, 0.4342, 0.0024, 1.2677, 0.0034 
0.3489, 0.4355, 0.0013, 1.2716, 0.0041 			      |	0.3489, 0.4335, 0.0013, 1.2657, 0.0040 
0.3539, 0.4327, 0.0025, 1.2643, 0.0036 			      |	0.3539, 0.4302, 0.0025, 1.2570, 0.0035 
0.3543, 0.4308, 0.0014, 1.2588, 0.0036 			      |	0.3543, 0.4289, 0.0014, 1.2533, 0.0036 
0.3544, 0.4319, 0.0014, 1.2619, 0.0040 			      |	0.3544, 0.4299, 0.0014, 1.2561, 0.0040 
0.3592, 0.4278, 0.0026, 1.2508, 0.0037 			      |	0.3592, 0.4254, 0.0026, 1.2436, 0.0036 
0.3600, 0.4255, 0.0014, 1.2441, 0.0040 			      |	0.3600, 0.4235, 0.0014, 1.2384, 0.0039 
0.3609, 0.4250, 0.0017, 1.2428, 0.0033 			      |	0.3609, 0.4229, 0.0016, 1.2369, 0.0033 
0.3610, 0.4251, 0.0016, 1.2432, 0.0031 			      |	0.3610, 0.4237, 0.0016, 1.2392, 0.0031 
0.3636, 0.4250, 0.0027, 1.2433, 0.0038 			      |	0.3636, 0.4226, 0.0027, 1.2362, 0.0037 
0.3639, 0.4231, 0.0013, 1.2378, 0.0037 			      |	0.3639, 0.4212, 0.0013, 1.2323, 0.0037 
0.3657, 0.4226, 0.0014, 1.2366, 0.0039 			      |	0.3657, 0.4207, 0.0014, 1.2310, 0.0039 
0.3684, 0.4198, 0.0028, 1.2288, 0.0040 			      |	0.3684, 0.4174, 0.0028, 1.2218, 0.0039 
0.3712, 0.4169, 0.0014, 1.2207, 0.0039 			      |	0.3712, 0.4149, 0.0014, 1.2151, 0.0038 
0.3727, 0.4171, 0.0030, 1.2216, 0.0043 			      |	0.3727, 0.4147, 0.0029, 1.2146, 0.0043 
0.3738, 0.4142, 0.0016, 1.2133, 0.0030 			      |	0.3738, 0.4122, 0.0016, 1.2075, 0.0030 
0.3749, 0.4131, 0.0014, 1.2104, 0.0034 			      |	0.3749, 0.4113, 0.0014, 1.2051, 0.0034 
0.3767, 0.4129, 0.0031, 1.2101, 0.0046 			      |	0.3767, 0.4106, 0.0030, 1.2031, 0.0045 
0.3768, 0.4124, 0.0014, 1.2084, 0.0038 			      |	0.3768, 0.4105, 0.0014, 1.2029, 0.0038 
0.3825, 0.4082, 0.0014, 1.1972, 0.0038 			      |	0.3825, 0.4063, 0.0014, 1.1917, 0.0037 
0.3866, 0.4050, 0.0017, 1.1884, 0.0030 			      |	0.3866, 0.4031, 0.0017, 1.1827, 0.0029 
0.3870, 0.4035, 0.0017, 1.1840, 0.0029 			      |	0.3870, 0.4022, 0.0017, 1.1802, 0.0029 
0.3880, 0.4036, 0.0014, 1.1845, 0.0037 			      |	0.3880, 0.4017, 0.0014, 1.1791, 0.0037 
0.3916, 0.4013, 0.0013, 1.1784, 0.0035 			      |	0.3916, 0.3995, 0.0013, 1.1731, 0.0035 
0.3936, 0.4001, 0.0014, 1.1751, 0.0037 			      |	0.3936, 0.3983, 0.0014, 1.1697, 0.0037 
0.3954, 0.3993, 0.0015, 1.1731, 0.0033 			      |	0.3954, 0.3976, 0.0015, 1.1680, 0.0032 
0.3987, 0.3951, 0.0018, 1.1610, 0.0029 			      |	0.3987, 0.3932, 0.0017, 1.1555, 0.0028 
0.3991, 0.3973, 0.0015, 1.1676, 0.0037 			      |	0.3991, 0.3954, 0.0014, 1.1622, 0.0037 
0.4047, 0.3923, 0.0014, 1.1540, 0.0036 			      |	0.4047, 0.3905, 0.0014, 1.1487, 0.0036 
0.4102, 0.3896, 0.0015, 1.1469, 0.0038 			      |	0.4102, 0.3878, 0.0015, 1.1416, 0.0038 
0.4108, 0.3870, 0.0018, 1.1392, 0.0028 			      |	0.4108, 0.3852, 0.0018, 1.1337, 0.0028 
0.4154, 0.3844, 0.0015, 1.1322, 0.0031 			      |	0.4154, 0.3827, 0.0015, 1.1273, 0.0031 
0.4158, 0.3844, 0.0015, 1.1321, 0.0036 			      |	0.4158, 0.3826, 0.0015, 1.1269, 0.0036 
0.4201, 0.3814, 0.0014, 1.1242, 0.0034 			      |	0.4201, 0.3797, 0.0014, 1.1192, 0.0033 
0.4212, 0.3803, 0.0015, 1.1209, 0.0035 			      |	0.4212, 0.3785, 0.0015, 1.1157, 0.0035 
0.4222, 0.3797, 0.0019, 1.1193, 0.0027 			      |	0.4222, 0.3779, 0.0018, 1.1139, 0.0027 
0.4269, 0.3758, 0.0015, 1.1085, 0.0035 			      |	0.4269, 0.3741, 0.0015, 1.1034, 0.0035 
0.4322, 0.3731, 0.0015, 1.1013, 0.0034 			      |	0.4322, 0.3714, 0.0015, 1.0962, 0.0034 
0.4338, 0.3712, 0.0019, 1.0959, 0.0025 			      |	0.4338, 0.3700, 0.0019, 1.0924, 0.0025 
0.4351, 0.3721, 0.0016, 1.0989, 0.0030 			      |	0.4351, 0.3705, 0.0016, 1.0941, 0.0030 
0.4378, 0.3681, 0.0015, 1.0874, 0.0035 			      |	0.4378, 0.3664, 0.0015, 1.0824, 0.0035 
0.4471, 0.3635, 0.0015, 1.0750, 0.0032 			      |	0.4471, 0.3618, 0.0015, 1.0702, 0.0031 
0.4540, 0.3590, 0.0016, 1.0629, 0.0028 			      |	0.4540, 0.3575, 0.0016, 1.0582, 0.0028 
0.4549, 0.3579, 0.0020, 1.0596, 0.0024 			      |	0.4549, 0.3567, 0.0020, 1.0562, 0.0024 
0.4729, 0.3480, 0.0017, 1.0327, 0.0026 			      |	0.4729, 0.3464, 0.0016, 1.0280, 0.0026 
0.4729, 0.3478, 0.0017, 1.0321, 0.0026 			      |	0.4729, 0.3462, 0.0016, 1.0276, 0.0026 
0.4745, 0.3458, 0.0021, 1.0264, 0.0023 			      |	0.4745, 0.3447, 0.0021, 1.0231, 0.0023 
0.4748, 0.3459, 0.0015, 1.0268, 0.0030 			      |	0.4748, 0.3443, 0.0015, 1.0222, 0.0030 
0.4908, 0.3371, 0.0017, 1.0030, 0.0026 			      |	0.4908, 0.3356, 0.0017, 0.9984, 0.0025 
0.4908, 0.3371, 0.0017, 1.0028, 0.0026 			      |	0.4908, 0.3356, 0.0017, 0.9984, 0.0026 
0.4927, 0.3352, 0.0022, 0.9974, 0.0022 			      |	0.4927, 0.3341, 0.0021, 0.9942, 0.0022 
0.5009, 0.3309, 0.0022, 0.9858, 0.0023 			      |	0.5009, 0.3299, 0.0022, 0.9826, 0.0023 
0.5011, 0.3310, 0.0016, 0.9859, 0.0028 			      |	0.5011, 0.3295, 0.0016, 0.9815, 0.0028 
0.5083, 0.3270, 0.0018, 0.9750, 0.0024 			      |	0.5083, 0.3255, 0.0018, 0.9705, 0.0024 
0.5085, 0.3270, 0.0018, 0.9752, 0.0024 			      |	0.5085, 0.3256, 0.0017, 0.9709, 0.0024 
0.5089, 0.3262, 0.0023, 0.9727, 0.0023 			      |	0.5089, 0.3252, 0.0023, 0.9696, 0.0023 
0.5170, 0.3228, 0.0023, 0.9635, 0.0023 			      |	0.5170, 0.3217, 0.0023, 0.9605, 0.0023 
0.5241, 0.3182, 0.0024, 0.9507, 0.0023 			      |	0.5241, 0.3171, 0.0024, 0.9476, 0.0023 
0.5253, 0.3172, 0.0018, 0.9480, 0.0023 			      |	0.5253, 0.3157, 0.0018, 0.9436, 0.0023 
0.5254, 0.3176, 0.0018, 0.9492, 0.0023 			      |	0.5254, 0.3162, 0.0018, 0.9450, 0.0023 
0.5274, 0.3170, 0.0016, 0.9477, 0.0027 			      |	0.5274, 0.3146, 0.0016, 0.9403, 0.0026 
0.5312, 0.3150, 0.0024, 0.9422, 0.0024 			      |	0.5312, 0.3140, 0.0024, 0.9392, 0.0023 
0.5382, 0.3105, 0.0025, 0.9295, 0.0024 			      |	0.5382, 0.3095, 0.0025, 0.9266, 0.0024 
0.5419, 0.3095, 0.0018, 0.9270, 0.0022 			      |	0.5419, 0.3081, 0.0018, 0.9229, 0.0022 
0.5420, 0.3103, 0.0019, 0.9294, 0.0022 			      |	0.5420, 0.3089, 0.0018, 0.9251, 0.0022 
0.5442, 0.3081, 0.0026, 0.9232, 0.0025 			      |	0.5442, 0.3072, 0.0026, 0.9203, 0.0025 
0.5504, 0.3056, 0.0026, 0.9165, 0.0026 			      |	0.5504, 0.3046, 0.0026, 0.9135, 0.0026 
0.5524, 0.3049, 0.0017, 0.9144, 0.0025 			      |	0.5524, 0.3025, 0.0016, 0.9073, 0.0025 
0.5561, 0.3034, 0.0027, 0.9104, 0.0028 			      |	0.5561, 0.3024, 0.0027, 0.9075, 0.0028 
0.5578, 0.3011, 0.0019, 0.9039, 0.0022 			      |	0.5578, 0.2998, 0.0019, 0.9000, 0.0021 
0.5579, 0.3012, 0.0019, 0.9041, 0.0021 			      |	0.5579, 0.2998, 0.0019, 0.9000, 0.0021 
0.5613, 0.3002, 0.0028, 0.9015, 0.0030 			      |	0.5613, 0.2992, 0.0028, 0.8986, 0.0029 
0.5665, 0.2971, 0.0029, 0.8928, 0.0032 			      |	0.5665, 0.2961, 0.0029, 0.8899, 0.0031 
0.5732, 0.2944, 0.0019, 0.8854, 0.0021 			      |	0.5732, 0.2931, 0.0019, 0.8815, 0.0021 
0.5732, 0.2937, 0.0019, 0.8834, 0.0020 			      |	0.5732, 0.2923, 0.0019, 0.8793, 0.0020 
0.5775, 0.2936, 0.0017, 0.8836, 0.0024 			      |	0.5775, 0.2913, 0.0017, 0.8768, 0.0023 
0.5878, 0.2868, 0.0020, 0.8643, 0.0019 			      |	0.5878, 0.2855, 0.0019, 0.8606, 0.0019 
0.5879, 0.2874, 0.0019, 0.8661, 0.0019 			      |	0.5879, 0.2861, 0.0019, 0.8621, 0.0019 
0.6011, 0.2811, 0.0017, 0.8488, 0.0022 			      |	0.6011, 0.2789, 0.0017, 0.8422, 0.0022 
0.6022, 0.2810, 0.0020, 0.8484, 0.0019 			      |	0.6022, 0.2797, 0.0020, 0.8445, 0.0019 
0.6022, 0.2813, 0.0020, 0.8494, 0.0019 			      |	0.6022, 0.2801, 0.0020, 0.8457, 0.0019 
0.6157, 0.2744, 0.0020, 0.8302, 0.0018 			      |	0.6157, 0.2732, 0.0020, 0.8264, 0.0018 
0.6157, 0.2743, 0.0020, 0.8299, 0.0018 			      |	0.6157, 0.2731, 0.0020, 0.8262, 0.0018 
0.6249, 0.2715, 0.0018, 0.8223, 0.0021 			      |	0.6249, 0.2694, 0.0018, 0.8159, 0.0021 
0.6288, 0.2699, 0.0021, 0.8180, 0.0017 			      |	0.6288, 0.2687, 0.0020, 0.8144, 0.0017 
0.6290, 0.2702, 0.0021, 0.8190, 0.0018 			      |	0.6290, 0.2690, 0.0021, 0.8152, 0.0018 
0.6414, 0.2638, 0.0021, 0.8008, 0.0017 			      |	0.6414, 0.2627, 0.0021, 0.7973, 0.0017 
0.6415, 0.2632, 0.0021, 0.7991, 0.0017 			      |	0.6415, 0.2620, 0.0021, 0.7955, 0.0017 
0.6468, 0.2624, 0.0018, 0.7971, 0.0020 			      |	0.6468, 0.2603, 0.0018, 0.7909, 0.0020 
0.6536, 0.2601, 0.0021, 0.7908, 0.0016 			      |	0.6536, 0.2589, 0.0021, 0.7874, 0.0016 
0.6536, 0.2591, 0.0021, 0.7879, 0.0017 			      |	0.6536, 0.2579, 0.0021, 0.7843, 0.0017 
0.6536, 0.2592, 0.0021, 0.7882, 0.0015 			      |	0.6536, 0.2580, 0.0021, 0.7844, 0.0015 
0.6651, 0.2549, 0.0021, 0.7764, 0.0015 			      |	0.6651, 0.2538, 0.0021, 0.7730, 0.0015 
0.6652, 0.2548, 0.0021, 0.7760, 0.0015 			      |	0.6652, 0.2536, 0.0021, 0.7722, 0.0015 
0.6652, 0.2547, 0.0021, 0.7756, 0.0015 			      |	0.6652, 0.2535, 0.0021, 0.7720, 0.0015 
0.6690, 0.2536, 0.0019, 0.7726, 0.0019 			      |	0.6690, 0.2516, 0.0018, 0.7666, 0.0018 
0.6761, 0.2506, 0.0022, 0.7644, 0.0015 			      |	0.6761, 0.2495, 0.0022, 0.7610, 0.0015 
0.6763, 0.2509, 0.0022, 0.7653, 0.0015 			      |	0.6763, 0.2498, 0.0022, 0.7618, 0.0015 
0.6764, 0.2511, 0.0022, 0.7658, 0.0015 			      |	0.6764, 0.2499, 0.0021, 0.7621, 0.0015 
0.6867, 0.2470, 0.0022, 0.7543, 0.0014 			      |	0.6867, 0.2458, 0.0022, 0.7506, 0.0014 
0.6895, 0.2444, 0.0020, 0.7466, 0.0020 			      |	0.6895, 0.2425, 0.0020, 0.7408, 0.0020 
0.6969, 0.2437, 0.0022, 0.7455, 0.0015 			      |	0.6969, 0.2426, 0.0022, 0.7421, 0.0015 
0.6970, 0.2430, 0.0022, 0.7433, 0.0014 			      |	0.6970, 0.2418, 0.0022, 0.7397, 0.0014 
0.7064, 0.2403, 0.0022, 0.7359, 0.0014 			      |	0.7064, 0.2391, 0.0022, 0.7323, 0.0014 
0.7101, 0.2387, 0.0019, 0.7316, 0.0016 			      |	0.7101, 0.2369, 0.0019, 0.7259, 0.0016 
0.7151, 0.2367, 0.0023, 0.7259, 0.0014 			      |	0.7151, 0.2357, 0.0023, 0.7226, 0.0014 
0.7152, 0.2370, 0.0023, 0.7268, 0.0014 			      |	0.7152, 0.2359, 0.0023, 0.7233, 0.0014 
0.7239, 0.2349, 0.0023, 0.7210, 0.0014 			      |	0.7239, 0.2337, 0.0023, 0.7175, 0.0014 
0.7290, 0.2326, 0.0019, 0.7144, 0.0016 			      |	0.7290, 0.2307, 0.0019, 0.7089, 0.0015 
0.7295, 0.2320, 0.0019, 0.7129, 0.0016 			      |	0.7295, 0.2302, 0.0019, 0.7074, 0.0015 
0.7300, 0.2319, 0.0019, 0.7125, 0.0016 			      |	0.7300, 0.2299, 0.0019, 0.7063, 0.0015 
0.7325, 0.2316, 0.0023, 0.7119, 0.0015 			      |	0.7325, 0.2305, 0.0023, 0.7085, 0.0014 
0.7325, 0.2316, 0.0024, 0.7119, 0.0016 			      |	0.7325, 0.2306, 0.0024, 0.7087, 0.0016 
0.7402, 0.2294, 0.0024, 0.7058, 0.0015 			      |	0.7402, 0.2283, 0.0024, 0.7024, 0.0015 
0.7474, 0.2267, 0.0024, 0.6982, 0.0015 			      |	0.7474, 0.2256, 0.0024, 0.6948, 0.0015 
0.7474, 0.2263, 0.0025, 0.6971, 0.0019 			      |	0.7474, 0.2253, 0.0025, 0.6939, 0.0019 
0.7482, 0.2263, 0.0020, 0.6971, 0.0015 			      |	0.7482, 0.2246, 0.0020, 0.6917, 0.0015 
0.7486, 0.2264, 0.0020, 0.6973, 0.0015 			      |	0.7486, 0.2244, 0.0020, 0.6912, 0.0015 
0.7546, 0.2254, 0.0025, 0.6949, 0.0018 			      |	0.7546, 0.2243, 0.0025, 0.6915, 0.0017 
0.7603, 0.2227, 0.0025, 0.6871, 0.0017 			      |	0.7603, 0.2216, 0.0025, 0.6837, 0.0017 
0.7656, 0.2199, 0.0020, 0.6790, 0.0014 			      |	0.7656, 0.2182, 0.0020, 0.6737, 0.0014 
0.7661, 0.2204, 0.0020, 0.6807, 0.0014 			      |	0.7661, 0.2185, 0.0020, 0.6747, 0.0014 
0.7836, 0.2155, 0.0020, 0.6669, 0.0013 			      |	0.7836, 0.2136, 0.0020, 0.6611, 0.0013 
0.7996, 0.2108, 0.0020, 0.6540, 0.0013 			      |	0.7996, 0.2090, 0.0020, 0.6482, 0.0013 
0.8157, 0.2065, 0.0021, 0.6419, 0.0012 			      |	0.8157, 0.2047, 0.0021, 0.6363, 0.0012 
0.8303, 0.2027, 0.0021, 0.6315, 0.0012 			      |	0.8303, 0.2009, 0.0021, 0.6260, 0.0012 
0.8449, 0.1981, 0.0021, 0.6183, 0.0012 			      |	0.8449, 0.1963, 0.0021, 0.6129, 0.0011 
0.8586, 0.1951, 0.0021, 0.6103, 0.0011 			      |	0.8586, 0.1934, 0.0021, 0.6050, 0.0011 
0.8718, 0.1922, 0.0022, 0.6023, 0.0011 			      |	0.8718, 0.1905, 0.0021, 0.5970, 0.0011 
0.8838, 0.1895, 0.0022, 0.5949, 0.0011 			      |	0.8838, 0.1879, 0.0022, 0.5897, 0.0010 
0.8960, 0.1861, 0.0023, 0.5850, 0.0014 			      |	0.8960, 0.1844, 0.0023, 0.5799, 0.0013 
0.9070, 0.1836, 0.0022, 0.5781, 0.0010 			      |	0.9070, 0.1820, 0.0022, 0.5731, 0.0010 
0.9174, 0.1814, 0.0023, 0.5719, 0.0011 			      |	0.9174, 0.1798, 0.0023, 0.5669, 0.0011 
0.9275, 0.1787, 0.0023, 0.5644, 0.0010 			      |	0.9275, 0.1772, 0.0022, 0.5595, 0.0010 
0.9374, 0.1776, 0.0024, 0.5616, 0.0014 			      |	0.9374, 0.1760, 0.0024, 0.5566, 0.0014 
0.9459, 0.1751, 0.0023, 0.5545, 0.0011 			      |	0.9459, 0.1736, 0.0023, 0.5496, 0.0011 
0.9547, 0.1732, 0.0023, 0.5490, 0.0011 			      |	0.9547, 0.1716, 0.0023, 0.5442, 0.0011 
0.9627, 0.1717, 0.0024, 0.5449, 0.0014 			      |	0.9627, 0.1702, 0.0024, 0.5402, 0.0014 
0.9700, 0.1700, 0.0024, 0.5401, 0.0012 			      |	0.9700, 0.1685, 0.0024, 0.5354, 0.0011 
0.9772, 0.1693, 0.0026, 0.5383, 0.0017 			      |	0.9772, 0.1678, 0.0025, 0.5336, 0.0016 
